ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
250,Adesh Chauhan,B.H.E.L. RANIPUR,BJP,1,1 Crore+,19 Lac+,UTTARAKHAND,12th Pass
251,Anna Dadu Bansode,PIMPRI (SC),NCP,0,2 Crore+,0,MAHARASHTRA,10th Pass
252,Chandrashekhar Deshmukh,MULTAI,BJP,0,4 Crore+,3 Lac+,MADHYA PRADESH,Graduate
253,Tirong Aboh,KHONSA WEST,NPP,0,10 Crore+,0,ARUNACHAL PRADESH,12th Pass
254,Thakor Laxmanji Punjaji (Bakaji),KALOL-GANDHINAGAR,BJP,0,12 Crore+,29 Lac+,GUJARAT,8th Pass
255,Rakibul Hussain,SAMAGURI,INC,0,8 Crore+,57 Lac+,ASSAM,Graduate
256,Rekha Arya,SOMESHWAR (SC),BJP,0,25 Crore+,82 Lac+,UTTARAKHAND,Post Graduate
257,Dhananjay Alias Sudhir Hari Gadgil,SANGLI,BJP,0,52 Crore+,94 Lac+,MAHARASHTRA,Graduate
258,Rajesh Faldessai,CUMBARJUA,INC,1,5 Crore+,2 Crore+,GOA,12th Pass
259,Naresh Puri,SUJANPUR,INC,0,35 Crore+,0,PUNJAB,Graduate
260,Rakesh Kumar Roushan,ISLAMPUR,RJD,0,2 Crore+,15 Lac+,BIHAR,Post Graduate
261,Rajendra Kumar,PRATAPGARH,BJP,2,5 Crore+,16 Lac+,UTTAR PRADESH,Graduate
262,Kaushal Kishore,RAJGIR (SC),JD(U),0,1 Crore+,0,BIHAR,Graduate Professional
263,Ajay Singh,HARRAIYA,BJP,2,13 Crore+,70 Lac+,UTTAR PRADESH,Post Graduate
264,Bamba Lal,SAFIPUR (SC),BJP,0,19 Crore+,5 Crore+,UTTAR PRADESH,Graduate
265,Abdul Hafeez Khan Mohammed,KURNOOL,YSRCP,0,3 Crore+,33 Lac+,ANDHRA PRADESH,Post Graduate
266,Baldev Singh Aulakh,BILASPUR,BJP,0,3 Crore+,1 Crore+,UTTAR PRADESH,Post Graduate
267,Tanveer Sait,NARASIMHARAJA,INC,1,0,38 Lac+,KARNATAKA,Graduate Professional
268,Lakshman Chandra Ghorui,DURGAPUR PASCHIM,BJP,11,1 Crore+,0,WEST BENGAL,12th Pass
269,Kailash Chandra Meena,GARHI (ST),BJP,0,2 Crore+,29 Lac+,RAJASTHAN,12th Pass
270,Chandra Sarathi Behera,CUTTACK SADAR,BJD,0,2 Crore+,14 Lac+,ODISHA,Graduate Professional
271,Vunnamatla Rakada Eliza,CHINTALAPUDI,YSRCP,0,4 Crore+,20 Lac+,ANDHRA PRADESH,Graduate
272,Bandyopadhyay Nayna,CHOWRANGEE,AITC,2,7 Crore+,1 Lac+,WEST BENGAL,12th Pass
273,Kedar Nath Singh,BANIAPUR,RJD,5,2 Crore+,20 Lac+,BIHAR,Graduate
274,Gulabrao Raghunath Patil,JALGAON RURAL,SHS,1,5 Crore+,66 Lac+,MAHARASHTRA,12th Pass
275,Gurmeet Singh Khudian,LAMBI,AAP,0,2 Crore+,20 Lac+,PUNJAB,12th Pass
276,P Jayaram,ALUR,YSRCP,0,88 Lac+,0,ANDHRA PRADESH,10th Pass
277,Nirmal Verma,BISWAN,BJP,3,4 Crore+,9 Lac+,UTTAR PRADESH,Graduate
278,Kedar Hazra,JAMUA (SC),BJP,0,0,14 Lac+,JHARKHAND,Graduate
279,S.S.Mallikarjun,DAVANAGERE NORTH,INC,1,189 Crore+,24 Crore+,KARNATAKA,Graduate
280,Damodar Rawat,JHAJHA,JD(U),1,0,19 Lac+,BIHAR,Post Graduate
281,Dhananjay Panditrao Munde,PARLI,NCP,9,23 Crore+,1 Crore+,MAHARASHTRA,Graduate Professional
282,Kadambur Raju,KOVILPATTI,AIADMK,2,2 Crore+,43 Lac+,TAMIL NADU,12th Pass
283,Lakhan Patel,PATHARIYA,BJP,1,4 Crore+,3 Lac+,MADHYA PRADESH,Post Graduate
284,Shreyasi Singh,JAMUI,BJP,0,4 Crore+,0,BIHAR,Post Graduate
285,Major Sunil Dutt Dwivedi,FARRUKHABAD,BJP,0,4 Crore+,0,UTTAR PRADESH,Graduate Professional
286,Ngursanglur Sanate,TIPAIMUKH (ST),JD(U),0,5 Lac+,2 Lac+,MANIPUR,12th Pass
287,Kantibhai Kalabhai Kharadi,DANTA (ST),INC,0,1 Crore+,15 Lac+,GUJARAT,8th Pass
288,Shrikant Katiyar,BANGERMAU,BJP,1,1 Crore+,9 Lac+,UTTAR PRADESH,Post Graduate
289,Devabhai Punjabhai Malam,KESHOD,BJP,0,4 Crore+,0,GUJARAT,Literate
290,Sardarbhai,KHERALU,BJP,0,39 Crore+,2 Crore+,GUJARAT,Graduate Professional
291,Jagdeep Singh (Kaka Brar),MUKTSAR,AAP,0,13 Crore+,82 Lac+,PUNJAB,8th Pass
292,Laxmi R. Hebbalkar,BELGAUM RURAL,INC,3,13 Crore+,5 Crore+,KARNATAKA,Post Graduate
293,Bandana Kumari,SHALIMAR BAGH,AAP,0,0,14 Lac+,DELHI,Graduate
294,Balraj Kundu,MEHEM,IND,1,141 Crore+,8 Crore+,HARYANA,Graduate
295,G B Jyothi Ganesh,TUMKUR CITY,BJP,0,0,7 Crore+,KARNATAKA,Graduate Professional
296,Jagroop Singh Gill,BATHINDA URBAN,AAP,0,13 Crore+,32 Lac+,PUNJAB,Graduate Professional
297,Pratibha Shukla,AKBARPUR-RANIYA,BJP,1,4 Crore+,2 Lac+,UTTAR PRADESH,Post Graduate
298,Amarpal Singh,SRI HARGOBINDPUR (SC),AAP,1,0,0,PUNJAB,Post Graduate
299,Gauri Shankar,ORAI (SC),BJP,2,79 Lac+,4 Lac+,UTTAR PRADESH,10th Pass
300,Dr. G S Dharmesh,AGRA CANTT. (SC),BJP,1,4 Crore+,0,UTTAR PRADESH,Graduate Professional
301,Aditi Singh,RAE BARELI,BJP,0,30 Crore+,3 Crore+,UTTAR PRADESH,Post Graduate
302,Mudunuri Naga Raja Vara Prasada Raju,NARASAPURAM,YSRCP,1,2 Crore+,2 Lac+,ANDHRA PRADESH,10th Pass
303,Atul Pradhan,SARDHANA,SP,38,0,0,UTTAR PRADESH,Graduate
304,Bhagirathi Devi,RAMNAGAR (SC),BJP,0,65 Lac+,0,BIHAR,5th Pass
305,Kotecha Mihir Chandrakant,MULUND,BJP,0,0,15 Crore+,MAHARASHTRA,10th Pass
306,Jitendra Kumar Ray,MARHAURA,RJD,5,4 Crore+,31 Lac+,BIHAR,Graduate
307,Mahesh Reddy Kasu,GURAZALA,YSRCP,6,7 Crore+,53 Lac+,ANDHRA PRADESH,Graduate Professional
308,Gayatri Raje Puar,DEWAS,BJP,0,17 Crore+,49 Lac+,MADHYA PRADESH,Graduate
309,R. Siva,VILLIANUR,DMK,3,20 Crore+,10 Crore+,PUDUCHERRY,10th Pass
310,Pulak Roy,ULUBERIA DAKSHIN,AITC,0,0,43 Lac+,WEST BENGAL,Graduate
311,Manjinder Singh Lalpura,KHADUR SAHIB,AAP,5,57 Lac+,1 Lac+,PUNJAB,12th Pass
312,Manda Vijay Mhatre,BELAPUR,BJP,1,23 Crore+,4 Crore+,MAHARASHTRA,5th Pass
313,Santosh Raosaheb Danve,BHOKARDAN,BJP,0,13 Crore+,1 Crore+,MAHARASHTRA,Graduate
314,Richards Johnkumar,NELLITHOPE,BJP,0,3 Crore+,81 Lac+,PUDUCHERRY,Graduate Professional
315,Kartush R. Marak,BAGHMARA (ST),IND,0,18 Crore+,4 Crore+,MEGHALAYA,10th Pass
316,Harpal Singh Cheema,DIRBA (SC),AAP,1,1 Crore+,36 Lac+,PUNJAB,Graduate Professional
317,Kumar Shailendra,BIHPUR,BJP,3,2 Crore+,7 Lac+,BIHAR,Graduate Professional
318,Dr. Yogesh Pandagre,AMLA (SC),BJP,0,6 Crore+,2 Crore+,MADHYA PRADESH,Post Graduate
319,Mahendra Pal Meena,JAMWA RAMGARH (ST),BJP,0,2 Crore+,11 Lac+,RAJASTHAN,Post Graduate
320,Krishna Paswan,KHAGA (SC),BJP,0,2 Crore+,45 Lac+,UTTAR PRADESH,10th Pass
321,Shamsher Singh Gogi,ASSANDH,INC,0,12 Crore+,1 Crore+,HARYANA,Graduate Professional
322,Jayeshbhai Vitthalbhai Radadiya,JETPUR,BJP,0,33 Crore+,18 Crore+,GUJARAT,12th Pass
323,Jyotirindra Nath Mitra,KHURDA,BJD,1,5 Crore+,2 Lac+,ODISHA,Graduate
324,Hardeep Singh Mundian,SAHNEWAL,AAP,1,5 Crore+,14 Lac+,PUNJAB,10th Pass
325,Kailash Rajput,TIRWA,BJP,1,0,45 Lac+,UTTAR PRADESH,Graduate Professional
326,Kiran Deo,JAGDALPUR,BJP,0,3 Crore+,15 Lac+,CHHATTISGARH,Graduate Professional
327,Bikash Debbarma,KRISHNAPUR (ST),BJP,0,56 Lac+,8 Lac+,TRIPURA,10th Pass
328,Sunanda Das,BARI,BJD,0,8 Lac+,0,ODISHA,10th Pass
329,Chakrapani M,VANUR (SC),AIADMK,0,1 Crore+,39 Lac+,TAMIL NADU,Graduate
330,Nandamuri Balakrishna,HINDUPUR,TDP,2,274 Crore+,15 Crore+,ANDHRA PRADESH,Graduate
331,Rajkishore Das,MORADA,BJD,3,0,13 Lac+,ODISHA,Graduate
332,Vikram Singh Negi,PRATAPNAGAR,INC,0,2 Crore+,3 Crore+,UTTARAKHAND,Post Graduate
333,Adv. K.U Jenish Kumar,KONNI,CPI(M),7,36 Lac+,14 Lac+,KERALA,Graduate Professional
334,Shrawon Kumar,NALANDA,JD(U),0,2 Crore+,19 Lac+,BIHAR,12th Pass
335,Nilkanth Ramnath Halarnkar,TIVIM,BJP,0,8 Crore+,72 Lac+,GOA,10th Pass
336,Tapuk Taku,SEPPA EAST,NPP,2,4 Crore+,15 Lac+,ARUNACHAL PRADESH,12th Pass
337,Zahid,BHADOHI,SP,3,1 Crore+,0,UTTAR PRADESH,12th Pass
338,Zia Ur Rehman,KUNDARKI,SP,0,98 Lac+,0,UTTAR PRADESH,Graduate Professional
339,B.Devendrappa,JAGALUR (ST),INC,0,2 Crore+,32 Lac+,KARNATAKA,12th Pass
340,Nongthombam Biren Singh,HEINGANG,BJP,0,1 Crore+,1 Lac+,MANIPUR,Graduate
341,Rohit Kumar,TRILOKPURI,AAP,0,93 Lac+,0,DELHI,12th Pass
342,Haji Yunus,MUSTAFABAD,AAP,1,3 Crore+,4 Lac+,DELHI,Graduate
343,Sagolshem Kebi Devi,NAORIA PAKHANGLAKPA,BJP,0,0,1 Crore+,MANIPUR,10th Pass
344,H. P. Swaroop,HASSAN,JD(S),0,7 Crore+,2 Crore+,KARNATAKA,Graduate Professional
345,Dipesh Sahu,BEMETARA,BJP,0,50 Lac+,0,CHHATTISGARH,Post Graduate
346,Mahipal Dhanda,PANIPAT RURAL,BJP,0,12 Crore+,1 Crore+,HARYANA,Graduate
347,Sharad Juglal Kol,BEOHARI (ST),BJP,1,1 Crore+,13 Lac+,MADHYA PRADESH,Post Graduate
348,Khongbantabam Ibomcha,LAMLAI,BJP,0,37 Lac+,0,MANIPUR,Graduate
349,Agnimitra Paul,ASANSOL DAKSHIN,BJP,2,2 Crore+,1 Crore+,WEST BENGAL,Graduate
350,Asoke Ch. Mitra,HRISHYAMUKH,CPI(M),0,1 Crore+,0,TRIPURA,Graduate Professional
351,Idris Ali,BHAGAWANGOLA,AITC,4,2 Crore+,0,WEST BENGAL,Graduate Professional
352,Mahendrabhai Bhabhor,GARBADA (ST),BJP,0,21 Lac+,0,GUJARAT,8th Pass
353,M Krishnappa,VIJAYANAGAR,INC,1,296 Crore+,77 Crore+,KARNATAKA,Graduate
354,Aloke Jaldata,RAIDIGHI,AITC,1,3 Crore+,74 Lac+,WEST BENGAL,Graduate Professional
355,Ramesh Chandra Mishra,BADLAPUR,BJP,0,2 Crore+,0,UTTAR PRADESH,10th Pass
356,Jyoti Priya Mallick,HABRA,AITC,0,6 Crore+,0,WEST BENGAL,Graduate Professional
357,Paolienlal Haokip,SAIKOT (ST),BJP,0,94 Lac+,0,MANIPUR,Post Graduate
358,Subodh Adhikary,BIJPUR,AITC,5,8 Crore+,3 Crore+,WEST BENGAL,Graduate
359,Pinaki Das Chowdhury,KALYANPUR-PRAMODNAGAR,BJP,0,36 Lac+,22 Lac+,TRIPURA,12th Pass
360,Hajarilal Dangi,KHILCHIPUR,BJP,0,4 Crore+,22 Lac+,MADHYA PRADESH,12th Pass
361,Dr. Janak Raj,BHARMOUR (ST),BJP,0,5 Crore+,81 Lac+,HIMACHAL PRADESH,Post Graduate
362,Ajay Mahawar,GHONDA,BJP,0,10 Crore+,1 Crore+,DELHI,Post Graduate
363,Prabhu Chavan,AURAD (SC),BJP,0,10 Crore+,54 Lac+,KARNATAKA,12th Pass
364,Suresh Gariya,KAPKOTE,BJP,0,1 Crore+,12 Lac+,UTTARAKHAND,Graduate Professional
365,Sital Kapat,GHATAL (SC),BJP,1,0,0,WEST BENGAL,12th Pass
366,Rajesh Gupta,WAZIRPUR,AAP,1,0,17 Lac+,DELHI,12th Pass
367,Amin Kagzi,KISHAN POLE,INC,0,7 Crore+,2 Crore+,RAJASTHAN,12th Pass
368,Bidya Sing Engleng,DIPHU (ST),BJP,0,1 Crore+,50 Thou+,ASSAM,Graduate
369,Desai Pankajbhai Vinubhai,NADIAD,BJP,0,11 Crore+,89 Lac+,GUJARAT,Graduate
370,Kanchanben Vinubhai Radadiya,THAKKARBAPA NAGAR,BJP,0,3 Crore+,4 Lac+,GUJARAT,10th Pass
371,Amar Singh Yadav,RAJGARH,BJP,0,5 Crore+,78 Lac+,MADHYA PRADESH,12th Pass
372,Geeta Shastri (Pasi),SORAON (SC),SP,0,2 Crore+,10 Lac+,UTTAR PRADESH,12th Pass
373,Rajesh Kumar Gautam,KADIPUR (SC),BJP,0,2 Crore+,27 Lac+,UTTAR PRADESH,Post Graduate
374,Adv. M. Vincent,KOVALAM,INC,8,21 Lac+,39 Lac+,KERALA,Graduate Professional
375,Dr.Sujith Vijayanpillai,CHAVARA,IND,0,4 Crore+,2 Crore+,KERALA,Post Graduate
376,Laxman Sangappa Savadi,ATHANI,INC,1,37 Crore+,1 Crore+,KARNATAKA,12th Pass
377,Chetti Palguna,ARAKU VALLEY,YSRCP,0,32 Lac+,7 Lac+,ANDHRA PRADESH,Graduate
378,Basawaraj Mattimudu,GULBARGA RURAL (SC),BJP,0,26 Crore+,13 Crore+,KARNATAKA,12th Pass
379,Gajendra Yadav,DURG CITY,BJP,1,4 Crore+,20 Lac+,CHHATTISGARH,Post Graduate
380,Kanti Prasad,THANAGAZI,INC,3,1 Crore+,0,RAJASTHAN,10th Pass
381,Dr.Usham Deben Singh,WABGAI,BJP,0,7 Crore+,1 Crore+,MANIPUR,Doctorate
382,Adv. P. T. A Rahim,KUNNAMANGALAM,IND,0,1 Crore+,0,KERALA,Graduate Professional
383,Rituraj Govind,KIRARI,AAP,2,14 Lac+,0,DELHI,Others
384,M.Y.Patil,AFZALPUR,INC,0,4 Crore+,33 Lac+,KARNATAKA,Graduate
385,Dr. Jasbir Singh Sandhu,AMRITSAR WEST (SC),AAP,0,0,15 Lac+,PUNJAB,Graduate Professional
386,R.S.Rajakannappan,MUDUKULATHUR,DMK,0,1 Crore+,0,TAMIL NADU,Graduate Professional
387,Patkar Ramanlal Nanubhai,UMBERGAON (ST),BJP,0,3 Crore+,15 Lac+,GUJARAT,8th Pass
388,Sangita Kumari,MOHANIA (SC),RJD,0,1 Crore+,47 Lac+,BIHAR,Post Graduate
389,Imran Hussain,BALLIMARAN,AAP,0,1 Crore+,28 Lac+,DELHI,Graduate Professional
390,Arvind Giri,GOLA GOKRANNATH,BJP,6,11 Crore+,43 Lac+,UTTAR PRADESH,Graduate Professional
391,Wanglin Lowangdong,BORDURIA BOGAPANI,INC,0,8 Crore+,0,ARUNACHAL PRADESH,Graduate
392,Dr. Bharati Lavekar,VARSOVA,BJP,0,4 Crore+,0,MAHARASHTRA,Doctorate
393,Meti Hullappa Yamanappa,BAGALKOT,INC,0,3 Crore+,1 Crore+,KARNATAKA,8th Pass
394,Sachin Panchappa Kalyanshetti,AKKALKOT,BJP,1,4 Crore+,49 Lac+,MAHARASHTRA,Graduate Professional
395,Kanhaiyalal,MALPURA,BJP,1,15 Crore+,4 Crore+,RAJASTHAN,Others
396,Umesh Patel,KHARSIA,INC,0,2 Crore+,0,CHHATTISGARH,Graduate Professional
397,K Rajan,OLLUR,CPI,0,99 Lac+,11 Lac+,KERALA,Graduate Professional
398,Chandrakant Alias Rajubhaiyya Ramakant Nawghare,BASMATH,NCP,0,92 Lac+,12 Lac+,MAHARASHTRA,12th Pass
399,Basavaraj Bommai,SHIGGAON,BJP,0,52 Crore+,5 Crore+,KARNATAKA,Graduate Professional
400,Saminathan.M.P,KANGAYAM,DMK,3,21 Crore+,3 Crore+,TAMIL NADU,Graduate
401,Vilwanathan.A.C,AMBUR,DMK,0,3 Crore+,10 Lac+,TAMIL NADU,10th Pass
402,Baburao Golla,PAYAKARAOPETA,YSRCP,0,3 Crore+,1 Crore+,ANDHRA PRADESH,Post Graduate
403,Kishore Upadhyay,TEHRI,BJP,0,2 Crore+,38 Lac+,UTTARAKHAND,Doctorate
404,Ali Mohammad,LALGOLA,AITC,1,4 Crore+,24 Lac+,WEST BENGAL,Post Graduate
405,Elango. R,ARAVAKURICHI,DMK,3,3 Crore+,29 Lac+,TAMIL NADU,Graduate Professional
406,Jaiswal Pradeep Shivnarayan,AURANGABAD (CENTRAL),SHS,6,32 Crore+,4 Crore+,MAHARASHTRA,8th Pass
407,Sureshwar Singh,MAHASI,BJP,5,3 Crore+,0,UTTAR PRADESH,12th Pass
408,Adv. G. Steephen,ARUVIKKARA,CPI(M),0,37 Lac+,5 Lac+,KERALA,Graduate Professional
409,Swapna Das Paul,SURMA (SC),BJP,0,76 Lac+,8 Lac+,TRIPURA,12th Pass
410,Prakash,DEOLI,AAP,3,25 Lac+,10 Thou+,DELHI,Post Graduate
411,Lal Chand,BHOA (SC),AAP,1,6 Lac+,0,PUNJAB,10th Pass
412,Mohan Lal Badoli,RAI,BJP,0,15 Crore+,2 Crore+,HARYANA,10th Pass
413,Bhupal Ram Tamta,THARALI (SC),BJP,0,68 Lac+,6 Lac+,UTTARAKHAND,10th Pass
414,Dr.Ravjot Singh,SHAM CHAURASI (SC),AAP,1,6 Crore+,48 Lac+,PUNJAB,Post Graduate
415,Dinesh Mohaniya,SANGAM VIHAR,AAP,2,35 Lac+,0,DELHI,Graduate Professional
416,Randhir Kumar Singh,SARATH,BJP,3,0,19 Lac+,JHARKHAND,10th Pass
417,Kailash Kushwah,POHARI,INC,0,0,0,MADHYA PRADESH,12th Pass
418,Chaudhari Shirish Madhukarrao,RAVER,INC,2,7 Crore+,27 Lac+,MAHARASHTRA,Post Graduate
419,M.Nagathiyagarajan,NERAVY-T.R.PATTINAM,DMK,0,29 Lac+,16 Lac+,PUDUCHERRY,Graduate
420,Pravinkumar Gordhanji Mali,DEESA,BJP,0,5 Crore+,11 Lac+,GUJARAT,Graduate
421,Sibamoni Bora,BATADROBA,INC,0,1 Crore+,11 Lac+,ASSAM,Post Graduate
422,Sitaram Verma,LAMBHUA,BJP,2,6 Crore+,0,UTTAR PRADESH,Post Graduate
423,Sanjib Sardar,POTKA (ST),JMM,3,15 Lac+,0,JHARKHAND,12th Pass
424,Letzamang Haokip,HENGLEP (ST),BJP,0,67 Lac+,0,MANIPUR,Post Graduate
425,P.V. Anvar,NILAMBUR,IND,1,64 Crore+,17 Crore+,KERALA,12th Pass
426,Nasiruddin Ahamed (Lal),KALIGANJ,AITC,2,2 Crore+,0,WEST BENGAL,Post Graduate
427,Yogesh Shukla,BAKSHI KAA TALAB,BJP,0,0,0,UTTAR PRADESH,12th Pass
428,Manas Ranjan Bhunia,SABANG,AITC,0,7 Crore+,26 Lac+,WEST BENGAL,Graduate Professional
429,"Thirumahan Everaa,E.",ERODE EAST,INC,0,2 Crore+,15 Lac+,TAMIL NADU,Graduate
430,T.P. Ramakrishnan,PERAMBRA,CPI(M),1,53 Lac+,0,KERALA,10th Pass
431,C.K.Hareendran,PARASSALA,CPI(M),3,0,26 Lac+,KERALA,12th Pass
432,Arun Kumar Singh,BARURAJ,BJP,1,5 Crore+,39 Lac+,BIHAR,Doctorate
433,Rajini Vidadala,CHILAKALURIPET,YSRCP,0,128 Crore+,0,ANDHRA PRADESH,Graduate
434,Abitkar Prakash Anandrao,RADHANAGARI,SHS,1,1 Crore+,40 Lac+,MAHARASHTRA,Graduate
435,Tanya Soki,DAPORIJO,BJP,2,19 Crore+,5 Crore+,ARUNACHAL PRADESH,Graduate
436,Thokchom Radheshyam Singh,HEIROK,BJP,0,1 Crore+,42 Lac+,MANIPUR,Graduate
437,Sushila Rameshwar Dudi,NOKHA,INC,0,17 Crore+,7 Crore+,RAJASTHAN,12th Pass
438,Vikram Singh (Vicky),RAMPUR-BAGHELAN,BJP,1,11 Crore+,83 Lac+,MADHYA PRADESH,Graduate
439,"Anbalagan, G.",KUMBAKONAM,DMK,6,0,10 Crore+,TAMIL NADU,10th Pass
440,Dr. Ram Kishore Dogne,HARDA,INC,4,14 Crore+,18 Lac+,MADHYA PRADESH,Doctorate
441,Fakeer Ram,GANGOLIHAT (SC),BJP,0,0,1 Lac+,UTTARAKHAND,Literate
442,Rohit Pujari,RAIRAKHOL,BJD,1,3 Crore+,2 Crore+,ODISHA,Graduate Professional
443,Dharmendra Bhav Singh Lodhi,JABERA,BJP,0,0,38 Lac+,MADHYA PRADESH,Post Graduate
444,Ajay Dutt,AMBEDKAR NAGAR,AAP,1,2 Crore+,0,DELHI,Post Graduate
445,Nepal Ghorui,GALSI (SC),AITC,2,24 Lac+,2 Lac+,WEST BENGAL,Graduate
446,Pradhuman Singh Tomar,GWALIOR,BJP,2,0,59 Lac+,MADHYA PRADESH,12th Pass
447,Sosthenes Sohtun,JIRANG (ST),NPP,0,0,4 Crore+,MEGHALAYA,12th Pass
448,Mahendra Ramsingh Yadav Khatora,KOLARAS,BJP,0,4 Crore+,1 Crore+,MADHYA PRADESH,12th Pass
449,Ram Kumar,INDRI,BJP,0,2 Crore+,17 Lac+,HARYANA,Post Graduate
450,Dr. Pankaj Rajesh Bhoyar,WARDHA,BJP,0,0,2 Crore+,MAHARASHTRA,Doctorate
451,Partha Bhowmick,NAIHATI,AITC,1,2 Crore+,63 Lac+,WEST BENGAL,Post Graduate
452,Bishnu Pada Ray,DHUPGURI (SC),BJP,1,1 Crore+,0,WEST BENGAL,10th Pass
453,C. Puttarangashetty,CHAMARAJANAGAR,INC,2,14 Crore+,21 Crore+,KARNATAKA,Graduate
454,Surender Shourie,BANJAR,BJP,0,89 Lac+,35 Lac+,HIMACHAL PRADESH,Graduate
455,Anubha Munjare,BALAGHAT,INC,3,5 Crore+,8 Lac+,MADHYA PRADESH,Post Graduate
456,Hameer Singh Bhayal,SIWANA,BJP,0,0,24 Lac+,RAJASTHAN,12th Pass
457,Sukanta Kumar Nayak,NILGIRI,BJP,0,1 Crore+,0,ODISHA,Graduate Professional
458,Prem Shankar Prasad,BAIKUNTHPUR,RJD,4,92 Lac+,0,BIHAR,12th Pass
459,Anantkumar Hasmukhbhai Patel,BANSDA (ST),INC,5,1 Crore+,12 Lac+,GUJARAT,Post Graduate
460,K. S. Basavanthappa,MAYAKONDA (SC),INC,1,1 Crore+,3 Lac+,KARNATAKA,10th Pass
461,Gum Tayeng,DAMBUK,BJP,0,4 Crore+,0,ARUNACHAL PRADESH,12th Pass
462,Santosh Kumar Mishra,KARGAHAR,INC,0,4 Crore+,50 Lac+,BIHAR,Graduate Professional
463,Manisha Singh,JAISINGHNAGAR (ST),BJP,0,1 Crore+,52 Lac+,MADHYA PRADESH,Post Graduate
464,Suryamani Baidya,KHALIKOTE,BJD,0,11 Lac+,28 Thou+,ODISHA,12th Pass
465,Ajit Sharma,BHAGALPUR,INC,7,43 Crore+,6 Crore+,BIHAR,Graduate
466,Arjunan P,TINDIVANAM (SC),AIADMK,0,1 Crore+,31 Lac+,TAMIL NADU,10th Pass
467,Saurabh Srivastava,VARANASI CANTT.,BJP,3,12 Crore+,52 Lac+,UTTAR PRADESH,Graduate
468,G.D. Harish Gowda,HUNSUR,JD(S),1,0,33 Crore+,KARNATAKA,Graduate Professional
469,B G Govindappa,HOSADURGA,INC,1,2 Crore+,18 Lac+,KARNATAKA,12th Pass
470,Kalyani Saha Roy,TELIAMURA,BJP,0,2 Crore+,33 Lac+,TRIPURA,Graduate Professional
471,Mamta Devi,RAMGARH,INC,4,91 Lac+,9 Lac+,JHARKHAND,Graduate
472,Dinesh Rai Munmun,SEONI,BJP,0,35 Crore+,16 Crore+,MADHYA PRADESH,Post Graduate
473,Dharmana Prasada Rao,SRIKAKULAM,YSRCP,2,13 Crore+,74 Lac+,ANDHRA PRADESH,12th Pass
474,S.Stalinkumar,THURAIYUR (SC),DMK,13,63 Lac+,10 Lac+,TAMIL NADU,Graduate Professional
475,Vishambhar Singh,BABERU,SP,1,0,5 Lac+,UTTAR PRADESH,Post Graduate
476,Govindarajan T.J,GUMMIDIPOONDI,DMK,0,7 Crore+,2 Crore+,TAMIL NADU,10th Pass
477,Mohan Gopalrao Mate,NAGPUR SOUTH,BJP,5,2 Crore+,8 Lac+,MAHARASHTRA,10th Pass
478,Sorokhaibam Rajen Singh,LAMSANG,BJP,1,4 Crore+,0,MANIPUR,Graduate
479,Lalit Chandrakar,DURG-RURAL,BJP,0,13 Crore+,52 Lac+,CHHATTISGARH,Graduate
480,Rakesh Janghu (Rakesh Daultabad),BADSHAHPUR,IND,1,66 Crore+,19 Crore+,HARYANA,10th Pass
481,Rajamuthu M,VEERAPANDI,AIADMK,0,3 Crore+,9 Lac+,TAMIL NADU,Graduate
482,Rahima Mondal,DEGANGA,AITC,0,67 Lac+,0,WEST BENGAL,10th Pass
483,Vijay Kumar Mandal,DINARA,RJD,4,2 Crore+,0,BIHAR,Graduate
484,Hardik Bharatbhai Patel,VIRAMGAM,BJP,22,61 Lac+,2 Lac+,GUJARAT,Graduate
485,Siddu Savadi,TERDAL,BJP,2,13 Crore+,5 Crore+,KARNATAKA,10th Pass
486,Amarnath Gudivada,ANAKAPALLI,YSRCP,5,5 Crore+,0,ANDHRA PRADESH,Graduate Professional
487,Narinder Pal Singh Sawna,FAZILKA,AAP,0,18 Thou+,3 Lac+,PUNJAB,Others
488,Gopal Sharma,CIVIL LINES,BJP,2,10 Crore+,0,RAJASTHAN,Post Graduate
489,Bishamber Singh,BAWANI KHERA (SC),BJP,0,1 Crore+,27 Lac+,HARYANA,Graduate
490,Atal Shrivastav,KOTA,INC,3,10 Crore+,2 Crore+,CHHATTISGARH,Graduate Professional
491,Chandrima Bhattacharya,DUM DUM UTTAR,AITC,0,60 Lac+,0,WEST BENGAL,Graduate Professional
492,Mahant Shambhunath Tundiya,GADHADA (SC),BJP,0,4 Crore+,1 Lac+,GUJARAT,Graduate
493,Pinarayi Vijayan,DHARMADAM,CPI(M),2,1 Crore+,0,KERALA,12th Pass
494,Kanggong Taku,MARIYANG-GEKU,JD(U),0,0,0,ARUNACHAL PRADESH,12th Pass
495,Vinendrasinh Dilipsinh Zala,HIMATNAGAR,BJP,0,8 Crore+,2 Lac+,GUJARAT,Graduate Professional
496,Bikash Roychoudhury,SURI,AITC,0,4 Crore+,5 Lac+,WEST BENGAL,Graduate
497,Siddu Patil,HUMNABAD,BJP,3,8 Crore+,6 Crore+,KARNATAKA,Graduate Professional
498,Pradip Kumar Dishari,LANJIGARH,BJD,0,45 Lac+,98 Thou+,ODISHA,Graduate
499,Nityananda Gond,UMERKOTE,BJP,2,32 Lac+,0,ODISHA,Post Graduate
